Age,Gender,Ethnicity,Religion,Residency,Marital experience,Are you currently enrolled as an undergraduate college student?,Branch of study,Do you know someone who has been diagnosed with a sexually transmitted infection?,Do you have a previous sexual experience (of any types),Knowledge self-evaluation,Knowledge score,HIV,Syphilis,Gonorrhea,Genital Warts,Genital herpes,Chlamydia,Trichomoniasis,Molluscum,Scabies and pediculosis,Hepatitis B and C,Genital swelling,Genital ulcers,Genital itching,Genital rash,Groin pain,Painful urination,Mentrual,Vaginal discharge,Urethral discharge,Body rash,Fever,Frequent diarrhea,Frequent coughing,Sore throat,Weight loss,No symptoms,Sexual intercourse,Non-sexual skin contact,Indirectly through objects,By Sharing foods and drinks,Swimming,Blood tranfusion and injects,Hairdressing,Pregnancy and childbirth,During breastfeeding,Mosquito bites,Multiple sexual partners,Unprotected sex,Substance use,Prostitution,Coinfection with another STI,Multiple marriages,Abstinence (before marriage),Condoms,Single sexual partner,Routine check-ups,Vaccination for genital warts ,Vaccination for HIV,Showering before and after sexual intercourse,Hormonal contraceptive pill,Circumcision,Resolution_HIV,Resolution_other,Infertility,Abortion,Premature birth,Congenital defects,Kidney problems,Cancer,Death
20,0,1,1,1,0,1,1,0,0,3,41,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
20,0,1,1,1,0,1,1,0,0,2,34,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0
22,0,1,1,1,0,1,3,0,0,3,32,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1
21,0,1,1,1,0,1,1,0,0,5,42,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
20,1,1,1,1,0,1,7,0,0,5,36,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1
24,0,1,1,1,0,1,3,0,0,5,45,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1
25,1,1,1,1,0,1,1,0,1,5,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0
21,0,1,1,1,0,1,3,0,0,2,38,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
23,0,1,1,1,1,1,3,0,1,9,39,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0
30,0,1,0,1,0,1,3,0,0,5,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1
